SigMax/CI,r/a,Region
1.301982872,1.030769231,HDZ
1.37250915,1.030769231,HDZ
1.314764316,1.046153846,HDZ
1.301781995,1.046153846,HDZ
1.242910805,1.030769231,HDZ
4.464285714,1.215384615,HDZ
1.358695652,1.215384615,HDZ
1.806745182,1.092307692,HDZ
1.721938776,1.123076923,HDZ
1.180895731,1.092307692,HDZ
1.57857811,1.123076923,HDZ
1.374185668,1.123076923,HDZ
1.480263158,1.123076923,HDZ
2.454545455,1.215384615,HDZ
1.144843962,1.046153846,HDZ
2.289687924,1.307692308,HDZ
1.818706697,1.153846154,HDZ
4.166666667,1.246153846,HDZ
1.268115942,1.092307692,HDZ
1.686295503,1.153846154,HDZ
1.607142857,1.184615385,HDZ
1.102169349,1.046153846,HDZ
1.47333957,1.092307692,HDZ
1.28257329,1.092307692,HDZ
1.381578947,1.092307692,HDZ
2.290909091,1.153846154,HDZ
1.068521031,1.061538462,HDZ
2.137042062,1.092307692,HDZ
1.473884942,1.092307692,HDZ
1.634646432,1.184615385,HDZ
1.556830063,1.092307692,HDZ
2.297168527,1.184615385,HDZ
2.63864276,1.261538462,HDZ
2.482591212,1.246153846,HDZ
2.337905237,1.215384615,HDZ
1.949664946,1.092307692,HDZ
2.280610866,1.092307692,HDZ
2.142585069,1.092307692,HDZ
1.744727047,1.123076923,HDZ
2.205305802,1.184615385,HDZ
2.013242663,1.092307692,HDZ
2.539121276,1.061538462,HDZ
2.019184748,1.215384615,HDZ
2.041330645,1.215384615,HDZ
2.163461538,1.184615385,HDZ
2.410714286,1.184615385,HDZ
2.163461538,1.061538462,HDZ
2.008928571,1.092307692,HDZ
2.34375,1.092307692,HDZ
1.962209302,1.107692308,HDZ
2.109375,1.123076923,HDZ
2.025,1.123076923,HDZ
1.952974308,1.215384615,HDZ
2.058763725,1.153846154,HDZ
1.972146474,1.107692308,HDZ
1.842517106,1.184615385,HDZ
1.768126572,1.007692308,HDZ
1.952672992,1.184615385,HDZ
1.864366208,1.184615385,HDZ
1.790134371,1.153846154,HDZ
2.435767898,1.338461538,HDZ
5.580357143,1.553846154,HDZ
3.288191738,1.415384615,HDZ
1.698369565,1.215384615,HDZ
2.152423469,1.323076923,HDZ
2.844740391,1.4,HDZ
1.476119664,1.215384615,HDZ
1.973222638,1.323076923,HDZ
1.717732085,1.246153846,HDZ
1.850328947,1.215384615,HDZ
3.068181818,1.307692308,HDZ
1.431054953,1.169230769,HDZ
2.273383372,1.353846154,HDZ
5.208333333,1.553846154,HDZ
3.068978956,1.430769231,HDZ
1.585144928,1.215384615,HDZ
2.008928571,1.307692308,HDZ
2.655091032,1.4,HDZ
1.377711686,1.215384615,HDZ
1.841674462,1.307692308,HDZ
1.603216612,1.246153846,HDZ
1.726973684,1.215384615,HDZ
2.863636364,1.338461538,HDZ
1.335651289,1.169230769,HDZ
2.6,1.215384615,HDZ
2.9,1.153846154,HDZ
2.8,1.123076923,HDZ
2.9,1.215384615,HDZ
2.9,1.430769231,HDZ
2.6,1.153846154,HDZ
2.7,1.338461538,HDZ
2.9,1.307692308,HDZ
3,1.353846154,HDZ
2,1.184615385,HDZ
2.5,1.092307692,HDZ
2.7,1.061538462,HDZ
2.8,1.153846154,HDZ
3,1.138461538,HDZ
2.5,1.153846154,HDZ
2.7,1.153846154,HDZ
3,1.153846154,HDZ
3,1.276923077,HDZ
2,1.307692308,HDZ
1.5,1.153846154,HDZ
3,1.230769231,HDZ
2.5,1.215384615,HDZ
2,1.215384615,HDZ
1.5,1.123076923,HDZ
3,1.338461538,HDZ
2.5,1.246153846,HDZ
1.5,1.107692308,HDZ
3,1.292307692,HDZ
2.5,1.153846154,HDZ
2,1.276923077,HDZ
1.5,1.107692308,HDZ
3,1.4,HDZ
2,1.215384615,HDZ
1.5,1.184615385,HDZ
3,1.276923077,HDZ
2.5,1.215384615,HDZ
2,1.215384615,HDZ
1.5,1.153846154,HDZ
2,1.184615385,HDZ
1.5,1.184615385,HDZ
3,1.292307692,HDZ
2.5,1.123076923,HDZ
2,1.261538462,HDZ
1.5,1.184615385,HDZ
3,1.276923077,HDZ
2,1.246153846,HDZ
1.5,1.246153846,HDZ
3,1.307692308,HDZ
2.5,1.123076923,HDZ
2,1.184615385,HDZ
1.5,1.123076923,HDZ
2.5,1.276923077,HDZ
1.5,1.138461538,HDZ
3,1.230769231,HDZ
2.5,1.215384615,HDZ
2,1.153846154,HDZ
1.5,1.153846154,HDZ
2.5,1.307692308,HDZ
2,1.276923077,HDZ
3,1.2,HDZ
2.5,1.261538462,HDZ
2,1.307692308,HDZ
2.762770138,1.215384615,HDZ
1.496010638,1.123076923,HDZ
1.401578073,1.153846154,HDZ
2.00415677,1.153846154,HDZ
2.114131797,1.123076923,HDZ
2.52016129,1.123076923,HDZ
3.302348337,1.184615385,HDZ
2.744795055,1.215384615,HDZ
2.97934322,1.246153846,HDZ
3.209395207,1.338461538,HDZ
3.702281703,1.338461538,HDZ
3.104304636,1.292307692,HDZ
1.777812895,1.246153846,HDZ
1.629804906,1.215384615,HDZ
2.749266862,1.246153846,HDZ
1.76037972,1.215384615,HDZ
2.122641509,1.153846154,HDZ
2.34962406,1.338461538,HDZ
3.964990602,1.369230769,HDZ
3.083881579,1.215384615,HDZ
1.416400873,1.061538462,HDZ
2.887577002,1.338461538,HDZ
2.429455802,1.215384615,HDZ
1.954029643,1.215384615,HDZ
1.651497358,1.169230769,HDZ
1.627918194,1.215384615,HDZ
2.023866635,1.215384615,HDZ
2.314814815,1.123076923,HDZ
1.468157299,1.123076923,HDZ
1.290927173,1.030769231,HDZ
1.940993789,1.215384615,HDZ
2.02629683,1.246153846,HDZ
2.242822967,1.123076923,HDZ
2.875766871,1.338461538,HDZ
2.744795055,1.338461538,HDZ
2.737670344,1.123076923,HDZ
2.609805135,1.169230769,HDZ
2.583435395,1.246153846,HDZ
2.764580603,1.369230769,HDZ
1.709726444,1.246153846,HDZ
2.397017045,1.215384615,HDZ
1.629804906,1.123076923,HDZ
2.562253265,1.215384615,HDZ
1.316097333,1.046153846,HDZ
1.934762669,1.276923077,HDZ
2.34962406,1.307692308,HDZ
3.528858218,1.292307692,HDZ
2.903475568,1.246153846,HDZ
1.365291262,1.046153846,HDZ
2.566149635,1.153846154,HDZ
1.877085651,1.092307692,HDZ
1.77332913,1.123076923,HDZ
1.381158946,1.092307692,HDZ
1.52301444,1.092307692,HDZ
2.218059937,1.123076923,HDZ
1.769609899,1.092307692,HDZ
2.988841658,1.523076923,HDZ
2.988841658,1.461538462,HDZ
2.988841658,1.4,HDZ
2.988841658,1.123076923,HDZ
2.988841658,1.215384615,HDZ
2.988841658,1.169230769,HDZ
2.988841658,1.123076923,HDZ
2.988841658,1.061538462,HDZ
2.988841658,1.046153846,HDZ
1.948614319,1.153846154,HDZ
4.464285714,1.338461538,HDZ
2.63055339,1.215384615,HDZ
1.358695652,1.092307692,HDZ
1.806745182,1.123076923,HDZ
1.721938776,1.123076923,HDZ
2.275792313,1.215384615,HDZ
1.57857811,1.092307692,HDZ
1.480263158,1.092307692,HDZ
2.454545455,1.246153846,HDZ
1.144843962,1.046153846,HDZ
2.289687924,1.184615385,HDZ
1.818706697,1.215384615,HDZ
4.166666667,1.430769231,HDZ
2.455183164,1.369230769,HDZ
1.268115942,1.092307692,HDZ
1.686295503,1.246153846,HDZ
1.607142857,1.123076923,HDZ
2.124072825,1.369230769,HDZ
1.102169349,1.092307692,HDZ
1.47333957,1.153846154,HDZ
1.28257329,1.092307692,HDZ
1.381578947,1.123076923,HDZ
2.290909091,1.369230769,HDZ
1.068521031,1.046153846,HDZ
2.137042062,1.246153846,HDZ
2.435767898,1.184615385,HDZ
5.580357143,1.215384615,HDZ
3.288191738,1.292307692,HDZ
1.698369565,1.123076923,HDZ
2.258431478,1.246153846,HDZ
2.152423469,1.2,HDZ
2.844740391,1.292307692,HDZ
1.476119664,1.092307692,HDZ
1.973222638,1.092307692,HDZ
1.717732085,1.092307692,HDZ
1.850328947,1.123076923,HDZ
3.068181818,1.246153846,HDZ
1.431054953,1.030769231,HDZ
2.862109905,1.246153846,HDZ
2.273383372,1.123076923,HDZ
5.208333333,1.338461538,HDZ
3.068978956,1.215384615,HDZ
1.585144928,1.153846154,HDZ
2.107869379,1.246153846,HDZ
2.008928571,1.215384615,HDZ
2.655091032,1.123076923,HDZ
1.377711686,1.092307692,HDZ
1.841674462,1.215384615,HDZ
1.603216612,1.092307692,HDZ
1.726973684,1.184615385,HDZ
2.863636364,1.246153846,HDZ
1.335651289,1.061538462,HDZ
2.671302578,1.338461538,HDZ
2.542783339,1.584615385,EDZi
2.789585547,1.584615385,EDZi
2.451743462,1.538461538,EDZi
2.468652038,1.523076923,EDZi
2.512763242,1.538461538,EDZi
2.250643041,1.492307692,EDZi
2.193593315,1.461538462,EDZi
2.316857899,1.461538462,EDZi
2.167033572,1.4,EDZi
2.085540254,1.553846154,EDZi
2.037516171,1.492307692,EDZi
2.066929134,1.461538462,EDZi
1.810761095,1.4,EDZi
2.245508982,1.461538462,EDZi
2.077288314,1.461538462,EDZi
2.025984049,1.369230769,EDZi
2.066929134,1.461538462,EDZi
1.973189677,1.461538462,EDZi
1.962861416,1.415384615,EDZi
1.943964453,1.415384615,EDZi
1.870546318,1.415384615,EDZi
1.812428078,1.369230769,EDZi
2.005347594,1.430769231,EDZi
1.407506702,1.246153846,EDZi
1.708613582,1.369230769,EDZi
1.923546654,1.415384615,EDZi
2.091078067,1.446153846,EDZi
1.483609646,1.338461538,EDZi
1.705283673,1.369230769,EDZi
1.713073744,1.369230769,EDZi
1.839523476,1.430769231,EDZi
1.84945984,1.369230769,EDZi
1.739562624,1.369230769,EDZi
1.734581498,1.307692308,EDZi
1.759776536,1.369230769,EDZi
1.63585376,1.338461538,EDZi
1.589945488,1.369230769,EDZi
1.787741203,1.369230769,EDZi
1.393312102,1.276923077,EDZi
1.584188292,1.338461538,EDZi
1.62371134,1.338461538,EDZi
1.595421394,1.338461538,EDZi
1.555401936,1.338461538,EDZi
1.481655691,1.276923077,EDZi
1.05,1.076923077,EDZi
1.516756549,1.276923077,EDZi
1.632462687,1.338461538,EDZi
1.528235979,1.338461538,EDZi
1.526458616,1.338461538,EDZi
1.376507604,1.246153846,EDZi
1.290349009,1.153846154,EDZi
1.343398158,1.184615385,EDZi
1.381094353,1.215384615,EDZi
1.425597393,1.276923077,EDZi
1.518804243,1.276923077,EDZi
2.043861926,1.415384615,EDZi
1.111503176,1.123076923,EDZi
1.90401354,1.369230769,EDZi
1.348458904,1.246153846,EDZi
1.291407019,1.246153846,EDZi
2.72441072,1.461538462,EDZi
2.988841658,1.538461538,EDZi
2.626867995,1.461538462,EDZi
2.644984326,1.492307692,EDZi
2.692246331,1.461538462,EDZi
2.411403258,1.461538462,EDZi
2.350278552,1.461538462,EDZi
2.482347749,1.461538462,EDZi
2.18305304,1.4,EDZi
2.214566929,1.338461538,EDZi
2.405902481,1.338461538,EDZi
2.225666051,1.415384615,EDZi
2.170697196,1.369230769,EDZi
2.214566929,1.415384615,EDZi
2.103065803,1.369230769,EDZi
2.082819057,1.369230769,EDZi
2.00415677,1.292307692,EDZi
1.941887227,1.276923077,EDZi
2.148586707,1.276923077,EDZi
1.508042895,1.276923077,EDZi
1.830657409,1.307692308,EDZi
2.060942843,1.338461538,EDZi
2.240440786,1.4,EDZi
1.589581763,1.338461538,EDZi
1.827089649,1.338461538,EDZi
1.835436154,1.338461538,EDZi
1.97091801,1.369230769,EDZi
1.981564115,1.338461538,EDZi
1.863817097,1.338461538,EDZi
1.858480176,1.276923077,EDZi
1.752700457,1.276923077,EDZi
1.703513022,1.276923077,EDZi
1.915437003,1.369230769,EDZi
1.492834395,1.276923077,EDZi
1.697344599,1.246153846,EDZi
1.739690722,1.338461538,EDZi
1.709380065,1.276923077,EDZi
1.666502074,1.276923077,EDZi
1.587488241,1.276923077,EDZi
1.125,1.092307692,EDZi
1.911531491,1.369230769,EDZi
1.625096302,1.292307692,EDZi
1.637395692,1.338461538,EDZi
1.635491374,1.369230769,EDZi
1.474829575,1.246153846,EDZi
1.382516795,1.215384615,EDZi
1.439355169,1.246153846,EDZi
1.479743949,1.153846154,EDZi
1.527425778,1.338461538,EDZi
1.62729026,1.292307692,EDZi
2.189852063,1.369230769,EDZi
1.19089626,1.184615385,EDZi
1.444777397,1.338461538,EDZi
1.383650377,1.246153846,EDZi
1.429349306,1.292307692,EDZi
1.544723421,1.338461538,EDZi
1.454696592,1.215384615,EDZi
1.213124856,1.076923077,EDZi
1.419046761,1.338461538,EDZi
1.333164043,1.292307692,EDZi
1.08560794,1.092307692,EDZi
1.372190277,1.246153846,EDZi
1.252684324,1.246153846,EDZi
1.579897683,1.338461538,EDZi
1.256381621,1.215384615,EDZi
1.27016129,1.169230769,EDZi
1.323529412,1.246153846,EDZi
1.346153846,1.246153846,EDZi
1.346153846,1.246153846,EDZi
1.25,1.153846154,EDZi
1.458333333,1.338461538,EDZi
1.220930233,1.123076923,EDZi
1.3125,1.246153846,EDZi
1.26,1.246153846,EDZi
1.215184014,1.153846154,EDZi
1.077512485,1.153846154,EDZi
